,Merchant_String,Labels,Predictions,Confidence,CorrectPrediction
27555,ihop #36 084 z5812z,ihop,ihop,0.999941038594989,1
27556,wal mart #2043 z531z,walmart,walmart,0.9999999982982928,1
27557,arbys #6405 gree z5814z,arbys,arbys,0.9478026735283965,1
27558,wal mart #0623 z5411z,walmart,walmart,0.9999999997353513,1
27559,402 west first z6011z,atm,atm,0.9999999422655125,1
27560,1702 30th ave s z6011z,atm,atm,0.9999999999948841,1
27561,domino s 5742 z5814z,dominos,dominos,0.9998927567303408,1
27562,dollar general # 1454 z531z,dollargeneral,dollargeneral,0.9999999999245119,1
27563,lyft ride sun 9am z4121z,lyft,lyft,0.9999999999929514,1
27564,better nike bot z5661z,nike,paypal,0.742284216604884,0
27565,dunkin #355451 z5814z,dunkindonuts,dunkindonuts,0.9917023828154228,1
27566,mcdonald s f27585 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27567,rps tn coolidge park z7523z,parking,parking,0.9840860920238085,1
27568,walgreens #4177 z5912z,walgreens,walgreens,0.9997771988689522,1
27569,amc norwalk 20 #0441 z7832z,amc,amc,0.9991913870609932,1
27570,goodwill millingto z5931z,goodwill,goodwill,0.9808496248757997,1
27571,wendy s #10667 z5814z,wendys,wendys,0.9999554751137918,1
27572,hot topic 0255 z5699z,hottopic,hottopic,0.9999993050370505,1
27573,paypal zulily z5641z,paypal,paypal,0.9998929076892301,1
27574,paypal jermworm98 z5945z,paypal,paypal,0.9999695135737301,1
27575,1901 harriman hwy z6011z,atm,atm,0.9999999844164692,1
27576,dollar tr 4000 glensid z5399z,dollartree,dollartree,0.9999997279732057,1
27577,playstationnetwork z5816z,playstation,paypal,0.7608173893302218,0
27578,kids foot locker 06828 z5661z,footlocker,footlocker,0.999999999995751,1
27579,rue21 3001 louisia,rue21,rue21,0.9977211704765098,1
27580,sonic drive in 5134,sonic,sonic,1.0,1
27581,shop rite inc z5542z,shoprite,shoprite,0.5041428099703285,1
27582,1295 kinsway rd z6011z,atm,atm,0.9999999952852789,1
27583,target t 3702 ranch r z5411z,target,target,0.9999999984733137,1
27584,uber trip yucb2 z4121z,uber,uber,1.0,1
27585,albertsons store 1333,albertsons,albertsons,0.9962503847089794,1
27586,uber eats yuzd4 z4121z,uber,uber,1.0,1
27587,sq pinkberry z5812z,pinkberry,heb,0.4558383098361022,0
27588,taco bell 029783 z5814z,tacobell,tacobell,0.9999999987956834,1
27589,uber eats zjjxs,uber,uber,0.9999999999977831,1
27590,567 route 100 n,atm,atm,0.9980044056578399,1
27591,paypal alan z5719z,paypal,paypal,0.999943142608587,1
27592,gristedes # 597 z5411z,gristedes,walmart,0.5379066556138724,0
27593,uber trip cudht,uber,uber,0.9999999999985647,1
27594,wendys #0152 z5814z,wendys,wendys,0.968324715846227,1
27595,dollar ge 1214 w capit z531z,dollargeneral,dollargeneral,0.9999999999822862,1
27596,gamestop 3839 e main,gamestop,atm,0.8982072469066059,0
27597,racetrac 2456 z5541z,racetrac,racetrac,0.5823642551660199,1
27598,kroger #6 1284 knox av z5411z,kroger,kroger,0.9999927722730041,1
27599,uber us oct28 pj4lu,uber,uber,0.9999999983641601,1
27600,dairy queen #10609 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
27601,wholefds dld#106 7930 z5411z,wholefoods,wholefoods,0.9927883902772571,1
27602,paypal chenbiyan z597z,paypal,paypal,0.9997566221358063,1
27603,coca cola idaho falls z5814z,cocacola,cocacola,0.9999719880450133,1
27604,target t 1838 z531z,target,target,0.9999999942144626,1
27605,uber trip 5xe3c z4121z,uber,uber,1.0,1
27606,circle k # 05702 z5541z,circlek,circlek,0.9999999558983969,1
27607,apl itunes com bill z5735z,appleitunes,appleitunes,1.0,1
27608,mcdonald s f19498 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27609,wendy s aberdeen mdus z5814z,wendys,wendys,0.9990560415537268,1
27610,taco bell #31439 z5814z,tacobell,tacobell,0.9999999987956834,1
27611,uber eats e2yiy,uber,uber,0.9999999999977831,1
27612,uber trip dtt4o z4121z,uber,uber,1.0,1
27613,taco bell #17560 z5814z,tacobell,tacobell,0.9999999987956834,1
27614,build a bear workshop z5945z,buildabear,paypal,0.6026000731893213,0
27615,zaxby s #30401 z5814z,zaxbys,zaxbys,0.9587289057498324,1
27616,dollar tr 2320 highway z5331z,dollartree,dollartree,0.999999997606281,1
27617,paypal ariescripts z7994z,paypal,paypal,0.9999497556944441,1
27618,aldi 62044 z5411z,aldi,aldi,0.6355117610398786,1
27619,7000 machester z6011z,atm,atm,0.9991139531089153,1
27620,francesca s b245 z5631z,francescas,francescas,0.9988552132679707,1
27621,wendy s 418 z5814z,wendys,wendys,0.9999587863339646,1
27622,academy sports #164 z5941z,academysports,academysports,0.9999538247838187,1
27623,gamestop 5366 walzem,gamestop,gamestop,0.9990207878469677,1
27624,caseys 2243 n cotne z5541z,caseys,caseys,0.9999804034343621,1
27625,dollar ge 363 dewey mc z531z,dollargeneral,dollargeneral,0.9999999999917719,1
27626,trader joe s # 042 z5411z,traderjoe,traderjoe,0.9999999882667369,1
27627,aramark heifer interna z5814z,aramark,mcdonalds,0.3906000345454875,0
27628,uber trip zvwho z4121z,uber,uber,1.0,1
27629,ross stores #1253 z531z,rossstores,rossstores,0.9999990308307296,1
27630,lolli and pops w bethesda mdus z5441z,lolliandpops,lolliandpops,0.9999967924913731,1
27631,kindle unlimited 888 8 z5818z,kindle,kindle,0.5226961348483754,1
27632,pizza hut 032432 z5812z,pizzahut,pizzahut,0.9999999321829686,1
27633,quiktrip#1131 eet z6011z,atm,atm,0.9999992425268571,1
27634,chipotle 2175 z5814z,chipotle,chipotle,0.9321930786782079,1
27635,dollar tr 3611 matthew z5331z,dollartree,dollartree,0.9999999873238751,1
27636,rite aid store 11335,riteaidpharmacy,riteaidpharmacy,1.0,1
27637,hot topic 0608 z5699z,hottopic,hottopic,0.9999993044672525,1
27638,burger king #2916 z5814z,burgerking,burgerking,0.9999999929561909,1
27639,sheetz 0041 z5541z,sheetz,sheetz,0.7384674962490391,1
27640,nyctaxi9t42 z4121z,nyctaxi,uber,0.9986267432923078,0
27641,taco bell #032366 z5814z,tacobell,tacobell,0.9999999987956834,1
27642,caseys 403 e townline z5541z,caseys,caseys,0.9970662283104661,1
27643,paypal futurememor z5947z,paypal,paypal,0.9997430859907945,1
27644,smoothie king #1440 z5814z,smoothieking,smoothieking,0.926647838765117,1
27645,burger king #13071 z5814z,burgerking,burgerking,0.9999999931589798,1
27646,paypal topstore200 z5999z,paypal,paypal,0.9999816171537836,1
27647,dollar general # 20 fo z531z,dollargeneral,dollargeneral,0.9999999999700435,1
27648,3241 lakeshore ave,atm,atm,0.999757485521182,1
27649,speedway 02293 465 z5541z,speedway,speedway,0.9861170987961698,1
27650,gamestop 91 n cattlem z7993z,gamestop,gamestop,0.9999999580875434,1
27651,target t 5800 20th st vero beach fl z5411z,target,target,0.999999999898364,1
27652,panda express #2341 z5814z,pandaexpress,pandaexpress,0.9999641922918158,1
27653,mono way tuol y z6011z,atm,atm,0.999998754903104,1
27654,vans #0342 z5661z,vans,vans,0.9504267961070666,1
27655,cvs pharm 10605 37 we z5912z,cvs,cvs,0.9999999996097415,1
27656,domino s 6626 z5814z,dominos,dominos,0.9999876693757788,1
27657,paypal zigzagmart z5311z,paypal,paypal,0.9997446459857255,1
27658,walgreens store 2495 s z5912z,walgreens,walgreens,0.9999999999865565,1
27659,mcdonald s f13568 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27660,dollar ge merle hay ro z531z,dollargeneral,dollargeneral,0.99999999999838,1
27661,205 southland dr z6011z,atm,atm,0.9999999652834793,1
27662,regal cinemas colonnad z7832z,regalcinemas,regalcinemas,0.9999890665858822,1
27663,uber eats tf5ow z4121z,uber,uber,1.0,1
27664,joann stores #1244 z5949z,joann,joann,0.9999940794890677,1
27665,uber trip bvv4l z4121z,uber,uber,1.0,1
27666,uber trip 6xjuy z4121z,uber,uber,1.0,1
27667,goodwill retail #162 4 z5931z,goodwill,goodwill,0.9999949294853905,1
27668,uber trip 6xepk,uber,uber,0.9999999999985647,1
27669,starbucks store 11666 z5814z,starbucks,starbucks,0.9999999997661249,1
27670,8773 great clips at ki z723z,greatclips,greatclips,0.9999999999621991,1
27671,mcdonald s m5511 of oh z5814z,mcdonalds,mcdonalds,1.0,1
27672,waffle house 2140 z5812z,wafflehouse,wafflehouse,0.9999992912627984,1
27673,taco bell #16677 z5814z,tacobell,tacobell,0.9999999987956834,1
27674,72 west main st z6011z,atm,atm,1.0,1
27675,dollar general # s mai z531z,dollargeneral,dollargeneral,0.9999999999998295,1
27676,petco 1699 z5995z,petco,petco,0.9769716922101678,1
27677,paypal eevlogs454 z8999z,paypal,paypal,0.9999941015563429,1
27678,buffalo wild wings 369 z5812z,buffalowildwings,buffalowildwings,0.9999999999998863,1
27679,chipotle 1184 z5814z,chipotle,chipotle,0.9286270551577733,1
27680,chipotle 1914 z5814z,chipotle,chipotle,0.928609614465456,1
27681,smoothie king 1387 z5814z,smoothieking,smoothieking,0.994696050233568,1
27682,whataburger 1097 z5814z,whataburger,whataburger,0.5288419831293415,1
27683,mcdonald s f3968 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27684,dunkin #343512 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
27685,paypal lowah jun z597z,paypal,paypal,0.9998740116295067,1
27686,uber eats wa2oc,uber,uber,0.9999999999977831,1
27687,dollar general # 121 s z531z,dollargeneral,dollargeneral,0.9999999999999858,1
27688,starbucks store 10001 z5814z,starbucks,starbucks,0.9999999997615987,1
27689,uber eats nqkmi,uber,uber,0.9999999999977831,1
27690,walgreens #15330 z5912z,walgreens,walgreens,0.9997789982427335,1
27691,domino s 6428 z5814z,dominos,dominos,0.9998731934631087,1
27692,shellis news gate t8 z5994z,shell,hudsonnews,0.6030191820925791,0
27693,icing #8137 z5631z,icing,icing,0.7181536588054663,1
27694,florida fgcu h bd lo,atm,atm,0.9993668596894965,1
27695,pizza hut #12575 z5812z,pizzahut,pizzahut,0.9999999325709816,1
27696,rue21 f103a woodfi,rue21,rue21,0.9939511140375423,1
27697,mcdonald s f25936 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27698,uber eats am7ow z4121z,uber,uber,1.0,1
27699,dollar ge 132 w mciver z531z,dollargeneral,dollargeneral,0.9999999999988205,1
27700,uber eats rnoq3 z4121z,uber,uber,1.0,1
27701,mcdonald s f8138 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27702,winn dixie #23 4025,winndixie,winndixie,0.9999999482620878,1
27703,paypal xxurenegade z8999z,paypal,paypal,0.9999941015563429,1
27704,chevron buffington ent z5541z,chevron,chevron,0.9940874157052606,1
27705,caseys 520 rodeo rd z5541z,caseys,caseys,0.9999978272775549,1
27706,kmart 7016 z531z,kmart,dollargeneral,0.6567689543757029,0
27707,panda express #2521 z5814z,pandaexpress,pandaexpress,0.9999625076081626,1
27708,mcdonald s f11277 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27709,kroger fuel #3776 z5541z,kroger,kroger,0.9999927263197818,1
27710,sonic z5814z,sonic,sonic,0.9697926668657905,1
27711,waffle house 1064 z5812z,wafflehouse,wafflehouse,0.9999993467736419,1
27712,ross stores #2031 z531z,rossstores,rossstores,0.9999990435203427,1
27713,uber trip qorl2,uber,uber,0.9999999999925802,1
27714,safeway store 4178 z5411z,safeway,safeway,0.9999999218009523,1
27715,victoria s secret 0866 z5621z,victoriassecret,victoriassecret,0.9999999999999716,1
27716,target t 2626 e stone z531z,target,target,0.999999999121485,1
27717,starbucks store 11916 z5814z,starbucks,starbucks,0.9999999997664837,1
27718,dairy queen #11004 z5812z,dairyqueen,dairyqueen,0.9999999258731292,1
27719,starbucks store 10201 z5814z,starbucks,starbucks,0.9999999997640217,1
27720,macy s 323 341 su z5311z,macys,macys,0.9999999961512742,1
27721,mcdonald s f33874 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27722,urban out 166 atlantic z5651z,urbanoutfitters,urbanoutfitters,0.9999999861020968,1
27723,family dollar #11455 z5331z,familydollar,familydollar,0.9999688089312142,1
27724,wal mart #2870 z5411z,walmart,walmart,0.9999999995292512,1
27725,caseys gen store 2413 z5541z,caseys,caseys,0.99999999999946,1
27726,vons store 3329,vons,vons,0.9992170098245554,1
27727,smoothie king #0842 z5814z,smoothieking,smoothieking,0.9946960452641831,1
27728,7215 custer road z6011z,atm,atm,0.9999999786831355,1
27729,circle k # 09828 6661 z5541z,circlek,circlek,0.9999999561251595,1
27730,chevron jet food #61 z5541z,chevron,chevron,0.9995985605450587,1
27731,hollister 4545 la joll z5691z,hollister,hollister,0.9953402104449594,1
27732,macy s 771 11605 z5311z,macys,macys,0.9999937626576502,1
27733,mcdonald s f29413 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27734,21501 pacific coast hw z6011z,atm,atm,0.999999992474983,1
27735,wawa store 5153 z5541z,wawa,wawa,0.9970255791554408,1
27736,circle k 05914 z5541z,circlek,circlek,0.9999999945811169,1
27737,dunkin #350951 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
27738,uber iaxaz,uber,uber,0.9995686173320644,1
27739,chick fil a #02713 z5814z,chickfila,chickfila,1.0,1
27740,gamestop 8118 mineral z7993z,gamestop,gamestop,0.9999987105621315,1
27741,dollar general # 3661 z531z,dollargeneral,dollargeneral,0.9999999999288178,1
27742,etsy com solidaritym z5699z,etsy,etsy,0.9999975672119097,1
27743,paypal rachow collin z4829z,paypal,paypal,0.9999745372876637,1
27744,starbucks store 23258 z5814z,starbucks,starbucks,0.999999999766132,1
27745,uber trip cvpqg,uber,uber,0.9999999999985647,1
27746,mcdonald s f3009 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27747,paypal mkgregg z8999z,paypal,paypal,0.9999941015563429,1
27748,starbucks store 10020 z5814z,starbucks,starbucks,0.9999999997664837,1
27749,uber trip hpbk5 z4121z,uber,uber,1.0,1
27750,paypal uenaka tyler z4829z,paypal,paypal,0.9999990044130325,1
27751,wawa 495 z5499z,wawa,wawa,0.9521140521985783,1
27752,starbucks store 02378 z5814z,starbucks,starbucks,0.9999999997664837,1
27753,paypal pricepointd z5331z,paypal,paypal,0.9998526389829658,1
27754,family dollar #7943 z5331z,familydollar,familydollar,0.9999390198811758,1
27755,2434 n keystone av z6011z,atm,atm,0.9999999581350929,1
27756,aramark natl museum of z5812z,aramark,aramark,0.5777092085218223,1
27757,4000 so curry st z6011z,atm,atm,0.999999999679666,1
27758,uber eats 3mf5e,uber,uber,0.999999999988642,1
27759,sonic drive in #6411 z5814z,sonic,sonic,1.0,1
27760,qt 200 z5541z,quiktrip,quiktrip,0.9190104565020512,1
27761,icing #8633 z5631z,icing,icing,0.7168180754209769,1
27762,sunoco 03634037 z5542z,sunoco,sunoco,0.9924002185576334,1
27763,100 stephanie dr z6011z,atm,atm,0.999999997246114,1
27764,shopritegreatermorrist z5411z,shoprite,walmart,0.5402847157255346,0
27765,kroger 2728 e main,kroger,kroger,0.7505135272699786,1
27766,walgreens #5719 z5912z,walgreens,walgreens,0.999777407422696,1
27767,wendy s #984 z5814z,wendys,wendys,0.9999587942808018,1
27768,asu parking digital pa z7523z,parking,parking,0.9993580077753816,1
27769,domino s 4101 z5814z,dominos,dominos,0.9998811431596863,1
27770,ulta #637 z5399z,ultabeauty,ultabeauty,0.9979062584840733,1
27771,victoria s secret 1264 z5621z,victoriassecret,victoriassecret,0.9999999999999716,1
27772,mcdonalds 2 z5812z,mcdonalds,mcdonalds,0.45117457840616065,1
27773,sonic drive in #5282 z5814z,sonic,sonic,1.0,1
27774,caseys 1002 sarpy s z5541z,caseys,caseys,0.9999421112901387,1
27775,taco bell 0015455 z5814z,tacobell,tacobell,0.9999999987956834,1
27776,starbucks store 10939 z5814z,starbucks,starbucks,0.9999999997664837,1
27777,paypal sun honglou z5331z,paypal,paypal,0.9999702640028215,1
27778,580 west arapaho z6011z,atm,atm,0.9999970719478619,1
27779,applebees 075022 z5812z,applebees,applebees,0.8164530338231542,1
27780,0190 forever 21 z5621z,forever21,forever21,0.9999999999986642,1
27781,sonic #4649 z5814z,sonic,sonic,0.9983528688120307,1
27782,0460 forever 21 z5621z,forever21,forever21,0.9999999999985221,1
27783,paypal jackwestcad z5999z,paypal,paypal,0.9999816171537836,1
27784,paypal ericmcdanie z7994z,paypal,paypal,0.9999497556944441,1
27785,7 eleven 25063 z5541z,seveneleven,seveneleven,0.9999990013156661,1
27786,michaels stores 9861 1 z597z,michaels,michaels,0.9999999999955023,1
27787,uber eats nwclh z4121z,uber,uber,1.0,1
27788,uber trip zhk75 z4121z,uber,uber,1.0,1
27789,kroger fu 12080 montgo z5542z,kroger,kroger,0.999999993767247,1
27790,wal mart #1387 z5411z,walmart,walmart,0.9999999997389324,1
27791,citgo 16549046 clute,citgo,citgo,0.8661517623184859,1
27792,petco 2405 z5995z,petco,petco,0.9766853931866967,1
27793,ross stores #1281 z531z,rossstores,rossstores,0.9999990308920139,1
27794,wendy s #12040 z5814z,wendys,wendys,0.9999518909661711,1
27795,smoothie king 1272 z5814z,smoothieking,smoothieking,0.9266607491304705,1
27796,burlington community p z9399z,burlington,atm,0.7327968367218369,0
27797,bath & body works 4381 z5999z,bathandbodyworks,bathandbodyworks,0.9999999999935199,1
27798,starbucks store 06475 z5814z,starbucks,starbucks,0.9999999997664837,1
27799,uber eats mjng3 z4121z,uber,uber,0.9999999999999964,1
27800,taco bell #020032 z5814z,tacobell,tacobell,0.9999999987956834,1
27801,wal mart #1737 z531z,walmart,walmart,0.9999999984100185,1
27802,paypal valex z5732z,paypal,paypal,0.9999499550884104,1
27803,starbucks store 00266 downers groveilus,starbucks,starbucks,0.9999999937686965,1
27804,uber trip zhf5m,uber,uber,0.9999999999985647,1
27805,chipotle 2943 z5814z,chipotle,chipotle,0.9245650332906364,1
27806,papa john s 00673 z5814z,papajohns,papajohns,0.9999999996096989,1
27807,burger king #21281 z5814z,burgerking,burgerking,0.9999999927295882,1
27808,uber eats ujg2b z4121z,uber,uber,0.9999999999999964,1
27809,paypal westernbidi z5099z,paypal,paypal,0.9998568127118043,1
27810,paypal arch 1 z5611z,paypal,paypal,0.9995547681647607,1
27811,paypal sandoval isabel z4829z,paypal,paypal,0.999999907132353,1
27812,whataburger 763 z5814z,whataburger,whataburger,0.8242159569599508,1
27813,food lion #0133 z5411z,foodlion,foodlion,0.9999979976354975,1
27814,albertsons store 3207 z5411z,albertsons,albertsons,0.9999746831081016,1
27815,taco bell #34204 z5814z,tacobell,tacobell,0.9999999987956834,1
27816,apple case supply z5734z,apple,apple,0.9698296312545599,1
27817,100sunnyside blvd z6011z,atm,atm,0.9999999907340822,1
27818,heb #714 z5411z,heb,heb,0.7149603063252955,1
27819,dunkin #330849 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
27820,paypal ipsy z5977z,paypal,paypal,0.9999242556693272,1
27821,taco bell #004843 franklin tnus z5814z,tacobell,tacobell,0.9999999950870517,1
27822,gamestop #4836 z7993z,gamestop,gamestop,0.9999696461850742,1
27823,hamline bp z5541z,bp,bp,0.9998997195082379,1
27824,uber trip onuvb z4121z,uber,uber,1.0,1
27825,kroger #4 3875 chapel z5411z,kroger,kroger,0.9999988690574924,1
27826,paypal greencycle z4812z,paypal,paypal,0.9999249045364198,1
27827,d&b pineville 111 pwc z7994z,bp,bp,0.8951558812648897,1
27828,speedway 08306 811 z5541z,speedway,speedway,0.9876095005764576,1
27829,uber trip nwg6y z4121z,uber,uber,1.0,1
27830,gamestop 6000 glades z7993z,gamestop,gamestop,0.9999980845353078,1
27831,paypal muniledd04 z8999z,paypal,paypal,0.9999941015563429,1
27832,uber trip utyq5,uber,uber,0.9999999999985647,1
27833,pizza hut #31153 z5812z,pizzahut,pizzahut,0.9999999321829686,1
27834,uber trip zsggy z4121z,uber,uber,1.0,1
27835,802 longhorns teamshop z5699z,steam,paypal,0.7527299524455179,0
27836,paypal kawaiikandi z8999z,paypal,paypal,0.9999941015563429,1
27837,mcdonald s m5806 of ca z5814z,mcdonalds,mcdonalds,1.0,1
27838,0463 forever 21 z5621z,forever21,forever21,0.9999999999985221,1
27839,uber trip d6ek7 z4121z,uber,uber,1.0,1
27840,walgreens #9700 z5912z,walgreens,walgreens,0.9997400625410862,1
27841,doordash jamba juice z5812z,jambajuice,jambajuice,0.9999992382854318,1
27842,safeway store 1201 z5411z,safeway,safeway,0.9999999539433457,1
27843,willows drive up 2 z6011z,atm,atm,0.9999999156050627,1
27844,circle k 07557 1514 s z5541z,circlek,circlek,0.999999871399589,1
27845,chilis deland z5812z,chilis,chilis,0.9446051549311568,1
27846,speedway 09526 man z5541z,speedway,speedway,0.9874094256620587,1
27847,apple food services z5812z,apple,apple,0.9193927646014888,1
27848,jack in the box 3979 z5814z,jackinthebox,jackinthebox,1.0,1
27849,sport clips ca633,sportclips,sportclips,0.9998258671115771,1
27850,mcdonald s f23059 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27851,rue21 130 blackhor z5621z,rue21,rue21,0.9997310698855836,1
27852,nordstrom #0544 z5311z,nordstrom,nordstrom,0.883010955052304,1
27853,cvs pharm 04242 151 p z5912z,cvs,cvs,0.9999999984372465,1
27854,brandy melville hawa z5631z,brandymelville,brandymelville,0.9808810674539614,1
27855,kroger #4 590 cascade z5411z,kroger,kroger,0.9999999788374512,1
27856,applebees 079022 z5812z,applebees,applebees,0.8164530338231542,1
27857,marshalls 323 valley m z5651z,marshalls,marshalls,0.9405478624019349,1
27858,uber trip mijdv z4121z,uber,uber,1.0,1
27859,cvs pharm 08059 35432 z5912z,cvs,cvs,0.9999999997437428,1
27860,ihop 1733 z5812z,ihop,ihop,0.9605987166286972,1
27861,wendy s #0503 z5814z,wendys,wendys,0.9999587945706913,1
27862,starbucks store 08318 z5814z,starbucks,starbucks,0.9999999997660964,1
27863,chick fil a #01450 z5814z,chickfila,chickfila,1.0,1
27864,uber eats ufrel z4121z,uber,uber,0.9999999999999964,1
27865,burger king #3656 z5814z,burgerking,burgerking,0.9999999926359138,1
27866,petco 494 z5995z,petco,petco,0.9770353172254461,1
27867,uber trip uf5qy,uber,uber,0.9999999999985647,1
27868,paypal lawrence nichol z4829z,paypal,paypal,0.9999892870214007,1
27869,cvs pharm 03301 28100 z5912z,cvs,cvs,0.9999999998719886,1
27870,sq carco theatre z5499z,arco,atm,0.5094877888297262,0
27871,arco #42089 z5541z,arco,arco,0.9139781558651963,1
27872,mcdonald s f14041 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
27873,paypal samkriserss su z5331z,paypal,paypal,0.9999831559455067,1
27874,kwik king bp 1710 z5541z,bp,bp,0.9784419240701645,1
27875,gamestop 7700 w arro,gamestop,gamestop,0.9996307585749571,1
27876,whataburger 829 eagle pass txus z5814z,whataburger,whataburger,0.6275940355457034,1
27877,uber 4fc6t,uber,uber,0.9995686173320644,1
27878,dollar general # mesa z531z,dollargeneral,dollargeneral,0.9999999999710028,1
27879,mcdonald s f7690 chicago ilus z5814z,mcdonalds,mcdonalds,0.9999999999996163,1
27880,coldstone #557 z5814z,coldstone,mcdonalds,0.364298307261554,0
27881,uber trip twhh7,uber,uber,0.9999999999985647,1
27882,vons store 2826,vons,vons,0.998529681120472,1
27883,7500 s ashland z6011z,atm,atm,0.9999986475596125,1
27884,@cox creek parkway z6011z,atm,atm,0.9999999989614565,1
27885,dunkin #352033 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
27886,uber zvlp2,uber,uber,0.9995686173320644,1
27887,uber 2fmuh,uber,uber,0.9998565168706554,1
27888,uber trip pgvmr,uber,uber,0.9999999999925802,1
27889,paypal foamblast z8999z,paypal,paypal,0.9999941015563429,1
27890,uber oct08 gmfmw z4121z,uber,uber,0.9999999079088411,1
27891,nike somerville 194 z5655z,nike,nike,0.9220736143298677,1
27892,uber trip cr3f5,uber,uber,0.9999999999925802,1
27893,dunkin #345520 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
27894,801 n indiana ave z6011z,atm,atm,0.999999999937657,1
27895,paypal ryansulliva z8999z,paypal,paypal,0.9999941015563429,1
27896,1605 w mcmillian z6011z,atm,atm,0.9999717711498992,1
27897,dunkin #346315 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
27898,mcdonald s f20344 z5814z,mcdonalds,mcdonalds,0.9999999999882476,1
27899,costco whse #0784 z53z,costco,costco,0.999999457673075,1
27900,wendy s 8989 z5814z,wendys,wendys,0.9999518909661711,1
27901,paypal ninasanchez z5611z,paypal,paypal,0.9999747239762939,1
27902,3059 west 12th st brooklyn ny,atm,atm,0.9999998282965384,1
27903,taco bell #029049 z5814z,tacobell,tacobell,0.9999999987956834,1
27904,century theatres 498 z7832z,centurytheatres,centurytheatres,0.9888100280076406,1
27905,paypal horrorsarts z5971z,paypal,paypal,0.9998653869220355,1
27906,claire s #3435 san diego caus z5631z,claires,claires,0.9999843897037389,1
27907,uber sabfz,uber,uber,0.9998565168706554,1
27908,burger king #464 z5814z,burgerking,burgerking,0.9999999929153844,1
27909,chipotle 2435 z5814z,chipotle,chipotle,0.9238653589862506,1
27910,walgreens store #10787,walgreens,walgreens,0.9999999563435306,1
27911,dairy queen #13423 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
27912,paypal rainbowshop z5331z,paypal,paypal,0.9998526389829658,1
27913,target t 2700 eldridg z5411z,target,target,0.999999999928292,1
27914,pinkberry lenox squa z5812z,pinkberry,panerabread,0.21760947481201756,0
27915,speedway 07455 160 z5541z,speedway,speedway,0.9984237994868955,1
27916,etsy com creativesup z5699z,etsy,etsy,0.9999975672119097,1
27917,uber trip wbfs4 z4121z,uber,uber,1.0,1
27918,uber trip 35rcj z4121z,uber,uber,1.0,1
27919,paypal zhangfeng21 z5999z,paypal,paypal,0.9999816171537836,1
27920,dairy queen 15782 z5814z,dairyqueen,dairyqueen,0.9999999584922543,1
27921,walgreens# 1479 z5912z,walgreens,walgreens,0.9992207898954656,1
27922,paypal michellezeh z8999z,paypal,paypal,0.9999941015563429,1
27923,chipotle 1289 z5814z,chipotle,chipotle,0.9284475837549891,1
27924,panera bread #3579,panerabread,panerabread,0.9999999807835496,1
27925,uber eats 2zudj z4121z,uber,uber,1.0,1
27926,starbucks t3 cl ord z5814z,starbucks,starbucks,0.9999990425778158,1
27927,uber trip cg2d2,uber,uber,0.9999999999985647,1
27928,burger king #5323 z5814z,burgerking,burgerking,0.9999999929564254,1
27929,823 kerlin st z6011z,atm,atm,0.9999999964593371,1
27930,wal mart #3761 z5411z,walmart,walmart,0.9999999997389821,1
27931,arbys #1857 nash z5814z,arbys,arbys,0.6422775996831658,1
27932,uber trip 7w5y7 z4121z,uber,uber,1.0,1
27933,kroger fu 9145 n tarra z5541z,kroger,kroger,0.9999999792824357,1
27934,caseys 502 n main z5541z,caseys,caseys,0.999998152540344,1
27935,whataburger #850 z5814z,whataburger,whataburger,0.5229207842095985,1
27936,bath & body works 4171 z5999z,bathandbodyworks,bathandbodyworks,0.9999999999935056,1
27937,kroger fuel #4384 z5542z,kroger,kroger,0.9999982353510015,1
27938,hot topic 0023 z5699z,hottopic,hottopic,0.999999304652569,1
27939,708 castle hill ave z6011z,atm,atm,1.0,1
27940,1960 john fries hw z6011z,atm,atm,0.9999993248269098,1
27941,west portal san francisco ca z6011z,atm,atm,0.9999999793033114,1
27942,domino s 3253 z5814z,dominos,dominos,0.9998927435868876,1
27943,family dollar #8557 z5331z,familydollar,familydollar,0.9999677422231327,1
27944,nordstrom 135 westches z5311z,nordstrom,nordstrom,0.9568831201858168,1
